id,hospital_id,department_id,name,qualification,specialization,experience_years,consultation_fee,bio,opd_timing,room_number,is_active
1,1,1,Dr. Ragini Verma,MBBS MD (Internal Medicine),Internal Medicine & Infectious Diseases,14,300,Senior consultant physician specializing in infectious diseases lifestyle metabolic management and adult intensive care,09:00 AM - 01:00 PM,Room 102 OPD Block A,1
2,1,2,Dr. Nilesh Kachhadia,MS (Orthopaedics),Complex Trauma & Joint Reconstruction,12,300,Consultant orthopaedic surgeon proficient in complex fracture fixation pelvi-acetabular trauma and joint reconstruction,09:00 AM - 01:00 PM,Room 108 OPD Block A,1
3,1,3,Dr. Preeti Kapadia,MD DGO,High-Risk Pregnancy & Gynaecologic Surgery,16,300,Senior obstetrician & gynaecologist specializing in high-risk obstetrics fetal surveillance and laparoscopic gynaecologic procedures,09:00 AM - 01:00 PM,Room 205 OPD Block B,1
4,1,4,Dr. Mayank Thakkar,MD (Paediatrics),Neonatal & Child Critical Care,10,300,Paediatrician dedicated to child health preventive immunizations and pediatric respiratory tract infections,09:00 AM - 01:00 PM,Room 210 OPD Block B,1
5,1,5,Dr. Jignesh Patel,MS (General Surgery),Gastrointestinal & Minimal Access Surgery,15,300,General & laparoscopic surgeon with high volume experience in gallbladder hernia and colorectal surgical procedures,09:00 AM - 01:00 PM,Room 304 OPD Block C,1
6,1,6,Dr. Ketan Patel,MS (Ophthalmology),Cataract Refractive & Glaucoma Surgery,13,300,Ophthalmic surgeon with expertise in sutureless phacoemulsification and diabetic retinopathy screenings,09:00 AM - 01:00 PM,Room 112 Eye OPD,1
7,2,7,Dr. Mehul Shah,MD DM (Cardiology) FACC,Interventional Cardiology & Coronary Angioplasty,18,800,Chief interventional cardiologist at Kiran Hospital performing complex angioplasties pacemaker implants and structural heart care,09:30 AM - 04:30 PM,Tower 1 Suite 201,1
8,2,8,Dr. Amit Patel,MS MCh (Neurosurgery),Cranial Microneurosurgery & Spine Stabilization,14,900,Senior neurosurgeon specializing in brain tumor excision endoscopic skull-base surgery and minimally invasive spine fusions,10:00 AM - 05:00 PM,Tower 1 Suite 305,1
9,2,9,Dr. Hiren Kevadiya,MS (Orthopaedics) DNB,Robotic Total Knee & Hip Arthroplasty,15,800,Director of joint reconstruction with extensive mastery in robotic-assisted joint replacement and arthroscopic ligament reconstruction,09:00 AM - 04:00 PM,Tower 2 Suite 104,1
10,2,10,Dr. Bhavin Shah,MD DM (Nephrology),Kidney Transplantation & Dialysis Management,11,850,Consultant nephrologist focusing on chronic kidney disease vascular access for hemodialysis and post-transplant immunosuppression,10:00 AM - 04:00 PM,Tower 2 Suite 210,1
