id,doctor_id,day_of_week,start_time,end_time,slot_duration_minutes,max_patients,is_active
1,1,1,09:00 AM,01:00 PM,30,8,1
2,1,2,09:00 AM,01:00 PM,30,8,1
3,1,3,09:00 AM,01:00 PM,30,8,1
4,1,4,09:00 AM,01:00 PM,30,8,1
5,1,5,09:00 AM,01:00 PM,30,8,1
6,1,6,09:00 AM,01:00 PM,30,8,1
7,2,1,09:00 AM,01:00 PM,30,8,1
8,2,2,09:00 AM,01:00 PM,30,8,1
9,2,3,09:00 AM,01:00 PM,30,8,1
10,2,4,09:00 AM,01:00 PM,30,8,1
11,2,5,09:00 AM,01:00 PM,30,8,1
12,2,6,09:00 AM,01:00 PM,30,8,1
13,3,1,09:00 AM,01:00 PM,30,8,1
14,3,2,09:00 AM,01:00 PM,30,8,1
15,3,3,09:00 AM,01:00 PM,30,8,1
16,3,4,09:00 AM,01:00 PM,30,8,1
17,3,5,09:00 AM,01:00 PM,30,8,1
18,3,6,09:00 AM,01:00 PM,30,8,1
19,4,1,09:00 AM,01:00 PM,30,8,1
20,4,2,09:00 AM,01:00 PM,30,8,1
21,4,3,09:00 AM,01:00 PM,30,8,1
22,4,4,09:00 AM,01:00 PM,30,8,1
23,4,5,09:00 AM,01:00 PM,30,8,1
24,4,6,09:00 AM,01:00 PM,30,8,1
25,5,1,09:00 AM,01:00 PM,30,8,1
26,5,3,09:00 AM,01:00 PM,30,8,1
27,5,5,09:00 AM,01:00 PM,30,8,1
28,6,2,09:00 AM,01:00 PM,30,8,1
29,6,4,09:00 AM,01:00 PM,30,8,1
30,6,6,09:00 AM,01:00 PM,30,8,1
31,7,1,09:30 AM,04:30 PM,30,12,1
32,7,2,09:30 AM,04:30 PM,30,12,1
33,7,3,09:30 AM,04:30 PM,30,12,1
34,7,4,09:30 AM,04:30 PM,30,12,1
35,7,5,09:30 AM,04:30 PM,30,12,1
36,8,1,10:00 AM,05:00 PM,30,12,1
37,8,3,10:00 AM,05:00 PM,30,12,1
38,8,5,10:00 AM,05:00 PM,30,12,1
39,9,1,09:00 AM,04:00 PM,30,12,1
40,9,2,09:00 AM,04:00 PM,30,12,1
41,9,4,09:00 AM,04:00 PM,30,12,1
42,9,6,09:00 AM,04:00 PM,30,12,1
43,10,2,10:00 AM,04:00 PM,30,10,1
44,10,4,10:00 AM,04:00 PM,30,10,1
45,10,6,10:00 AM,04:00 PM,30,10,1
46,11,1,11:00 AM,05:00 PM,30,10,1
47,11,3,11:00 AM,05:00 PM,30,10,1
48,11,5,11:00 AM,05:00 PM,30,10,1
49,12,1,09:00 AM,03:00 PM,30,10,1
50,12,2,09:00 AM,03:00 PM,30,10,1
51,12,4,09:00 AM,03:00 PM,30,10,1
52,13,1,09:00 AM,02:00 PM,30,10,1
53,13,3,09:00 AM,02:00 PM,30,10,1
54,13,5,09:00 AM,02:00 PM,30,10,1
55,14,2,10:00 AM,05:00 PM,30,12,1
56,14,4,10:00 AM,05:00 PM,30,12,1
57,14,6,10:00 AM,05:00 PM,30,12,1
58,15,1,09:30 AM,04:30 PM,30,12,1
59,15,3,09:30 AM,04:30 PM,30,12,1
60,15,5,09:30 AM,04:30 PM,30,12,1
61,16,2,10:00 AM,04:00 PM,30,10,1
62,16,4,10:00 AM,04:00 PM,30,10,1
63,17,1,09:30 AM,05:00 PM,30,12,1
64,17,3,09:30 AM,05:00 PM,30,12,1
65,17,5,09:30 AM,05:00 PM,30,12,1
66,18,2,10:00 AM,04:30 PM,30,10,1
67,18,4,10:00 AM,04:30 PM,30,10,1
68,19,1,10:00 AM,04:00 PM,30,10,1
69,19,3,10:00 AM,04:00 PM,30,10,1
70,19,5,10:00 AM,04:00 PM,30,10,1
71,20,2,09:30 AM,03:30 PM,30,10,1
72,20,4,09:30 AM,03:30 PM,30,10,1
73,20,6,09:30 AM,03:30 PM,30,10,1
74,21,1,09:00 AM,01:00 PM,30,8,1
75,21,2,09:00 AM,01:00 PM,30,8,1
76,21,3,09:00 AM,01:00 PM,30,8,1
77,21,4,09:00 AM,01:00 PM,30,8,1
78,21,5,09:00 AM,01:00 PM,30,8,1
79,22,2,10:00 AM,04:00 PM,30,10,1
80,22,4,10:00 AM,04:00 PM,30,10,1
81,22,6,10:00 AM,04:00 PM,30,10,1
82,23,1,09:00 AM,02:00 PM,30,10,1
83,23,3,09:00 AM,02:00 PM,30,10,1
84,23,5,09:00 AM,02:00 PM,30,10,1
85,24,2,09:30 AM,03:00 PM,30,10,1
86,24,4,09:30 AM,03:00 PM,30,10,1
87,24,6,09:30 AM,03:00 PM,30,10,1
