id,doctor_id,schedule_id,date,start_time,end_time,status
1,1,4,2026-09-24,09:00 AM,09:30 AM,BOOKED
2,1,4,2026-09-24,09:30 AM,10:00 AM,BOOKED
3,1,4,2026-09-24,10:00 AM,10:30 AM,AVAILABLE
4,1,4,2026-09-24,10:30 AM,11:00 AM,BOOKED
5,1,4,2026-09-24,11:00 AM,11:30 AM,AVAILABLE
6,1,4,2026-09-24,11:30 AM,12:00 PM,AVAILABLE
7,1,4,2026-09-24,12:00 PM,12:30 PM,AVAILABLE
8,1,4,2026-09-24,12:30 PM,01:00 PM,AVAILABLE
9,2,10,2026-09-24,09:00 AM,09:30 AM,BOOKED
10,2,10,2026-09-24,09:30 AM,10:00 AM,AVAILABLE
11,2,10,2026-09-24,10:00 AM,10:30 AM,BOOKED
12,2,10,2026-09-24,10:30 AM,11:00 AM,AVAILABLE
13,2,10,2026-09-24,11:00 AM,11:30 AM,AVAILABLE
14,2,10,2026-09-24,11:30 AM,12:00 PM,AVAILABLE
15,7,34,2026-09-24,09:30 AM,10:00 AM,BOOKED
16,7,34,2026-09-24,10:00 AM,10:30 AM,BOOKED
17,7,34,2026-09-24,10:30 AM,11:00 AM,AVAILABLE
18,7,34,2026-09-24,11:00 AM,11:30 AM,BOOKED
19,7,34,2026-09-24,11:30 AM,12:00 PM,AVAILABLE
20,7,34,2026-09-24,02:00 PM,02:30 PM,AVAILABLE
21,7,34,2026-09-24,02:30 PM,03:00 PM,AVAILABLE
22,8,37,2026-09-24,10:00 AM,10:30 AM,BOOKED
23,8,37,2026-09-24,10:30 AM,11:00 AM,AVAILABLE
24,8,37,2026-09-24,11:00 AM,11:30 AM,BOOKED
25,8,37,2026-09-24,11:30 AM,12:00 PM,AVAILABLE
26,9,41,2026-09-24,09:00 AM,09:30 AM,BOOKED
27,9,41,2026-09-24,09:30 AM,10:00 AM,BOOKED
28,9,41,2026-09-24,10:00 AM,10:30 AM,AVAILABLE
29,9,41,2026-09-24,10:30 AM,11:00 AM,AVAILABLE
30,13,53,2026-09-24,09:00 AM,09:30 AM,BOOKED
31,13,53,2026-09-24,09:30 AM,10:00 AM,AVAILABLE
32,13,53,2026-09-24,10:00 AM,10:30 AM,BOOKED
33,13,53,2026-09-24,10:30 AM,11:00 AM,AVAILABLE
34,14,56,2026-09-24,10:00 AM,10:30 AM,BOOKED
35,14,56,2026-09-24,10:30 AM,11:00 AM,AVAILABLE
36,14,56,2026-09-24,11:00 AM,11:30 AM,AVAILABLE
37,17,64,2026-09-24,09:30 AM,10:00 AM,BOOKED
38,17,64,2026-09-24,10:00 AM,10:30 AM,AVAILABLE
39,17,64,2026-09-24,10:30 AM,11:00 AM,AVAILABLE
40,19,69,2026-09-24,10:00 AM,10:30 AM,BOOKED
41,19,69,2026-09-24,10:30 AM,11:00 AM,AVAILABLE
42,21,77,2026-09-24,09:00 AM,09:30 AM,BOOKED
43,21,77,2026-09-24,09:30 AM,10:00 AM,AVAILABLE
44,21,77,2026-09-24,10:00 AM,10:30 AM,AVAILABLE
45,22,80,2026-09-24,10:00 AM,10:30 AM,BOOKED
46,22,80,2026-09-24,10:30 AM,11:00 AM,AVAILABLE
47,1,5,2026-09-25,09:00 AM,09:30 AM,BOOKED
48,1,5,2026-09-25,09:30 AM,10:00 AM,AVAILABLE
49,1,5,2026-09-25,10:00 AM,10:30 AM,AVAILABLE
50,1,5,2026-09-25,10:30 AM,11:00 AM,AVAILABLE
51,7,35,2026-09-25,09:30 AM,10:00 AM,BOOKED
52,7,35,2026-09-25,10:00 AM,10:30 AM,AVAILABLE
53,7,35,2026-09-25,10:30 AM,11:00 AM,AVAILABLE
54,13,54,2026-09-25,09:00 AM,09:30 AM,BOOKED
55,13,54,2026-09-25,09:30 AM,10:00 AM,AVAILABLE
56,17,65,2026-09-25,09:30 AM,10:00 AM,AVAILABLE
57,17,65,2026-09-25,10:00 AM,10:30 AM,BOOKED
58,21,78,2026-09-25,09:00 AM,09:30 AM,AVAILABLE
59,21,78,2026-09-25,09:30 AM,10:00 AM,BOOKED
60,1,6,2026-09-26,09:00 AM,09:30 AM,AVAILABLE
61,1,6,2026-09-26,09:30 AM,10:00 AM,AVAILABLE
62,7,31,2026-09-28,09:30 AM,10:00 AM,AVAILABLE
63,7,31,2026-09-28,10:00 AM,10:30 AM,AVAILABLE
64,13,52,2026-09-28,09:00 AM,09:30 AM,AVAILABLE
65,13,52,2026-09-28,09:30 AM,10:00 AM,AVAILABLE
